group,cqs_with_matched_scenario,micro_propagated_eval_rate,micro_propagated_struct_rate,micro_propagated_framing_rate,micro_mean_eval_precision,micro_mean_eval_recall,micro_mean_struct_precision,micro_mean_struct_recall,macro_propagated_eval_rate,macro_propagated_struct_rate,macro_propagated_framing_rate,macro_mean_eval_precision,macro_mean_eval_recall,macro_mean_struct_precision,macro_mean_struct_recall,n_propagated_framing_bias,n_source_bias_not_propagated,n_newly_introduced_framing
all,102,0.0098,0.0098,0.0196,0.125,0.0104,0.0312,0.0444,0.0143,0.0067,0.021,0.1111,0.0159,0.0185,0.0444,2,45,11
gold,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,8
generated,49,0.0204,0.0204,0.0408,0.1429,0.0222,0.3333,0.1667,0.02,0.025,0.045,0.1111,0.0222,0.3333,0.1667,2,17,3
OntoChat,49,0.0204,0.0204,0.0408,0.1429,0.0222,0.3333,0.1667,0.02,0.025,0.045,0.1111,0.0222,0.3333,0.1667,2,17,3
